id,date,region,product_category,product_name,revenue,units_sold,customer_id,sales_rep
23,2024-12-19,Central,Furniture,Sofa Sectional L,2117.39,30,109,Elena Rodriguez
24,2024-07-22,South,Food & Beverage,Organic Coffee Blend,86.42,37,46,James Anderson
25,2024-10-29,North,Electronics,Tablet Air M2,1517.51,37,111,Karen White
26,2024-02-20,Central,Food & Beverage,Artisan Pasta Set,237.21,15,78,Maria Davis
27,2024-12-26,West,Clothing,Sports Hoodie,237.97,49,93,Maria Davis
28,2025-11-06,West,Electronics,Laptop Pro X1,1682.88,29,5,James Anderson
29,2025-01-08,West,Electronics,Smart TV 55in,1768.25,27,23,David Kim
30,2024-05-15,Central,Furniture,Dining Table Set,1580.12,18,107,Carol Chen
31,2024-09-20,South,Furniture,Bookshelf Modern,2442.06,30,10,Carol Chen
32,2024-08-19,South,Sports,Resistance Band Set,253.38,26,2,Elena Rodriguez
33,2025-07-03,East,Food & Beverage,Artisan Pasta Set,208.39,44,34,James Anderson
34,2025-01-25,North,Electronics,Wireless Earbuds Z3,2463.09,40,114,Irene Thompson
35,2024-12-01,Central,Clothing,Premium Jacket,526.55,30,117,Leo Garcia
36,2024-11-05,South,Electronics,Wireless Earbuds Z3,417.66,3,39,Hector Patel
37,2024-04-28,East,Clothing,Sports Hoodie,151.75,30,48,Karen White
38,2025-12-14,Central,Food & Beverage,Gourmet Tea Collection,227.84,10,114,Grace Lee
39,2025-11-01,East,Food & Beverage,Gourmet Tea Collection,134.27,18,5,Leo Garcia
40,2025-01-14,West,Food & Beverage,Cold Press Juice 12pk,286.16,24,13,Karen White
41,2025-01-11,Central,Furniture,Ergonomic Desk Chair,1284.7,13,16,Nathan Brown
42,2025-04-10,East,Clothing,Sports Hoodie,778.32,4,101,Frank Wilson
43,2024-09-06,West,Sports,Yoga Mat Premium,211.73,49,71,David Kim
44,2025-08-23,West,Clothing,Silk Dress Shirt,630.78,39,1,Elena Rodriguez
45,2024-05-28,West,Sports,Resistance Band Set,1613.15,8,85,Nathan Brown
46,2024-01-27,West,Electronics,Smart TV 55in,3991.93,16,76,Frank Wilson
47,2024-01-17,West,Furniture,Ergonomic Desk Chair,511.26,27,68,Bob Martinez
48,2024-03-06,South,Food & Beverage,Artisan Pasta Set,163.71,7,58,Irene Thompson
49,2024-08-14,Central,Electronics,Gaming Console S,1647.83,42,4,Alice Johnson
50,2025-05-05,South,Food & Beverage,Organic Coffee Blend,157.28,29,10,Olivia Clark
51,2024-03-23,North,Sports,Yoga Mat Premium,206.11,18,80,Karen White
52,2025-08-22,Central,Furniture,Sofa Sectional L,2984.69,34,38,Hector Patel
53,2025-06-01,Central,Food & Beverage,Organic Coffee Blend,242.07,8,110,Karen White
54,2025-10-28,Central,Clothing,Denim Jeans Classic,388.67,15,53,Frank Wilson
55,2025-04-09,South,Food & Beverage,Organic Coffee Blend,107.51,21,86,Elena Rodriguez
56,2025-01-18,West,Food & Beverage,Organic Coffee Blend,45.54,6,12,Grace Lee
57,2024-04-08,North,Clothing,Sports Hoodie,94.99,36,72,Frank Wilson
58,2025-11-17,East,Food & Beverage,Artisan Pasta Set,264.61,49,55,Nathan Brown
59,2024-02-22,North,Sports,Resistance Band Set,755.16,37,65,David Kim
60,2024-06-07,South,Clothing,Premium Jacket,312.59,36,48,Bob Martinez
61,2024-10-12,Central,Clothing,Denim Jeans Classic,683.87,50,105,James Anderson
62,2025-09-20,Central,Electronics,Gaming Console S,4659.6,45,35,Alice Johnson
63,2024-07-03,North,Furniture,Bookshelf Modern,1150.42,12,112,Carol Chen
64,2025-08-02,South,Electronics,Wireless Earbuds Z3,3756.65,2,12,Leo Garcia
65,2025-06-27,West,Food & Beverage,Cold Press Juice 12pk,147.02,11,48,Elena Rodriguez
66,2024-11-28,Central,Sports,Running Shoes Ultra,1776.02,10,21,Maria Davis
67,2025-09-24,East,Electronics,Smart TV 55in,2326.94,28,63,James Anderson
68,2025-03-28,South,Furniture,Standing Desk Oak,2301.59,8,45,Grace Lee
69,2024-04-23,North,Sports,Mountain Bike 27.5,1091.71,20,6,David Kim
70,2025-02-08,Central,Electronics,Laptop Pro X1,1181.23,14,99,Carol Chen
71,2024-09-18,North,Furniture,Ergonomic Desk Chair,172.03,48,56,Carol Chen
72,2024-05-12,South,Sports,Yoga Mat Premium,1040.5,43,104,Frank Wilson
73,2024-03-14,South,Electronics,Tablet Air M2,289.96,5,111,Frank Wilson
74,2025-08-12,South,Sports,Mountain Bike 27.5,1442.24,27,38,Bob Martinez
75,2025-02-18,East,Furniture,Standing Desk Oak,2433.77,40,59,Nathan Brown
76,2025-12-07,North,Electronics,Tablet Air M2,4253.52,16,56,James Anderson
77,2025-02-14,Central,Electronics,Tablet Air M2,4378.52,48,44,David Kim
78,2024-12-07,West,Electronics,Gaming Console S,3239.48,34,66,David Kim
79,2024-12-23,North,Clothing,Casual Sneakers,127.1,17,26,Carol Chen
80,2025-09-08,West,Electronics,Wireless Earbuds Z3,4766.2,41,64,Hector Patel
81,2025-07-31,Central,Food & Beverage,Gourmet Tea Collection,200.04,40,42,Nathan Brown
82,2025-10-04,North,Clothing,Denim Jeans Classic,101.21,29,81,Elena Rodriguez
83,2024-10-08,Central,Electronics,Smart TV 55in,2635.22,20,60,Hector Patel
84,2024-02-08,East,Furniture,Bookshelf Modern,368.68,6,79,James Anderson
85,2025-06-03,South,Food & Beverage,Gourmet Tea Collection,175.21,48,115,Alice Johnson
86,2025-04-05,Central,Clothing,Silk Dress Shirt,503.75,33,20,Alice Johnson
87,2025-04-06,East,Furniture,Ergonomic Desk Chair,1587.96,12,6,David Kim
88,2025-12-25,South,Food & Beverage,Gourmet Tea Collection,166.37,11,47,Frank Wilson
89,2024-10-16,South,Food & Beverage,Artisan Pasta Set,210.09,4,102,Karen White
90,2025-10-24,North,Electronics,Smart TV 55in,653.63,44,50,Elena Rodriguez
91,2024-09-15,Central,Clothing,Silk Dress Shirt,111.13,43,19,Olivia Clark
92,2024-12-24,North,Food & Beverage,Protein Bar Pack,186.61,6,40,Irene Thompson
93,2025-01-20,North,Clothing,Sports Hoodie,120.09,43,55,Irene Thompson
94,2025-01-05,East,Furniture,Bookshelf Modern,663.75,14,44,Maria Davis
95,2025-05-12,West,Clothing,Casual Sneakers,166.21,19,109,Maria Davis
96,2024-04-13,Central,Sports,Swimming Goggles Pro,152.48,22,113,Maria Davis
97,2025-09-24,West,Sports,Mountain Bike 27.5,376.17,12,107,Leo Garcia
98,2025-10-01,West,Food & Beverage,Organic Coffee Blend,135.04,44,93,David Kim
99,2025-03-30,Central,Furniture,Sofa Sectional L,816.91,16,40,Maria Davis
100,2025-04-25,West,Furniture,Dining Table Set,2955.65,30,99,Elena Rodriguez
101,2025-01-26,Central,Sports,Mountain Bike 27.5,1935.23,13,103,James Anderson
102,2024-05-21,North,Electronics,Tablet Air M2,4395.76,36,120,Bob Martinez
103,2025-12-29,Central,Electronics,Smart TV 55in,602.6,11,35,Hector Patel
104,2025-06-09,West,Food & Beverage,Organic Coffee Blend,285.0,15,105,Hector Patel
105,2024-12-23,East,Food & Beverage,Organic Coffee Blend,131.01,24,31,Grace Lee
106,2024-03-24,North,Clothing,Premium Jacket,289.01,7,108,Leo Garcia
107,2025-10-27,North,Clothing,Casual Sneakers,78.73,31,90,Nathan Brown
108,2024-05-22,South,Food & Beverage,Gourmet Tea Collection,21.47,6,3,Elena Rodriguez
109,2024-08-08,West,Sports,Swimming Goggles Pro,1093.32,8,100,Elena Rodriguez
110,2024-08-31,North,Electronics,Laptop Pro X1,1344.51,41,102,James Anderson
111,2025-04-13,East,Electronics,Tablet Air M2,3064.35,2,81,Irene Thompson
112,2025-08-11,West,Clothing,Silk Dress Shirt,371.93,40,46,David Kim
113,2025-08-07,South,Clothing,Premium Jacket,442.61,24,9,Irene Thompson
114,2025-07-11,Central,Sports,Swimming Goggles Pro,119.04,31,6,Karen White
115,2025-01-31,North,Furniture,Ergonomic Desk Chair,1167.72,5,45,David Kim
116,2025-11-03,East,Sports,Resistance Band Set,336.15,23,70,Frank Wilson
117,2025-10-20,West,Food & Beverage,Cold Press Juice 12pk,196.89,9,9,Leo Garcia
118,2025-04-13,East,Furniture,Standing Desk Oak,274.85,13,114,Alice Johnson
119,2024-11-19,North,Sports,Mountain Bike 27.5,1979.12,35,61,Elena Rodriguez
120,2024-02-07,West,Furniture,Bookshelf Modern,2607.09,4,111,Karen White
121,2024-12-05,North,Electronics,Smart TV 55in,2297.37,26,96,Hector Patel
122,2025-01-30,North,Clothing,Denim Jeans Classic,569.05,24,119,Maria Davis
123,2025-06-15,North,Electronics,Tablet Air M2,578.85,39,106,Carol Chen
124,2025-07-12,North,Furniture,Ergonomic Desk Chair,378.2,43,38,Elena Rodriguez
125,2025-04-01,Central,Food & Beverage,Protein Bar Pack,213.13,23,58,Alice Johnson
126,2024-12-27,Central,Food & Beverage,Artisan Pasta Set,199.05,4,10,Karen White
127,2025-10-14,South,Furniture,Dining Table Set,2433.12,44,21,Alice Johnson
128,2024-05-26,Central,Food & Beverage,Organic Coffee Blend,55.34,16,100,Karen White
129,2025-01-10,North,Food & Beverage,Gourmet Tea Collection,29.07,10,87,Hector Patel
130,2025-01-14,North,Food & Beverage,Organic Coffee Blend,180.7,34,47,Grace Lee
131,2024-11-17,North,Clothing,Premium Jacket,69.44,12,64,Irene Thompson
132,2025-01-31,Central,Electronics,Smart TV 55in,3919.83,46,58,David Kim
133,2025-09-18,North,Food & Beverage,Protein Bar Pack,54.34,5,58,Carol Chen
134,2025-12-31,South,Electronics,Smart TV 55in,3405.63,46,9,Irene Thompson
135,2025-07-09,North,Furniture,Standing Desk Oak,2178.66,45,82,Carol Chen
136,2025-01-05,Central,Clothing,Premium Jacket,788.85,9,31,Maria Davis
137,2025-05-20,East,Furniture,Dining Table Set,1780.99,30,103,Irene Thompson
138,2024-05-12,Central,Electronics,Laptop Pro X1,1684.6,46,93,Hector Patel
139,2025-06-22,South,Food & Beverage,Gourmet Tea Collection,40.65,21,83,Bob Martinez
140,2025-04-05,South,Sports,Resistance Band Set,326.4,50,71,Karen White
141,2025-08-24,West,Clothing,Denim Jeans Classic,427.15,4,107,Bob Martinez
142,2025-06-14,West,Furniture,Standing Desk Oak,611.61,46,29,Frank Wilson
143,2025-06-15,North,Electronics,Smart TV 55in,1142.25,36,36,Carol Chen
144,2025-10-02,North,Sports,Swimming Goggles Pro,259.38,42,22,James Anderson
145,2025-08-17,West,Clothing,Sports Hoodie,590.47,39,44,Nathan Brown
146,2025-07-31,East,Electronics,Laptop Pro X1,418.22,42,99,James Anderson
147,2024-09-28,West,Sports,Mountain Bike 27.5,1266.77,2,64,Olivia Clark
148,2025-10-04,Central,Furniture,Bookshelf Modern,1526.39,44,52,Elena Rodriguez
149,2025-04-09,East,Electronics,Wireless Earbuds Z3,2310.11,31,60,David Kim
150,2024-12-14,Central,Clothing,Silk Dress Shirt,696.11,21,94,Nathan Brown
151,2024-12-19,South,Clothing,Silk Dress Shirt,436.24,7,41,David Kim
152,2025-04-22,East,Furniture,Sofa Sectional L,856.57,7,7,Elena Rodriguez
153,2025-01-28,Central,Food & Beverage,Protein Bar Pack,289.55,11,105,Frank Wilson
154,2025-08-14,North,Clothing,Casual Sneakers,423.7,33,60,Hector Patel
155,2024-11-11,South,Electronics,Laptop Pro X1,4737.12,33,59,David Kim
156,2024-08-08,Central,Furniture,Ergonomic Desk Chair,294.04,32,77,Olivia Clark
157,2025-10-31,South,Furniture,Dining Table Set,173.31,7,56,Carol Chen
158,2024-09-27,North,Food & Beverage,Artisan Pasta Set,32.67,4,73,Irene Thompson
159,2024-07-18,North,Sports,Resistance Band Set,221.18,33,58,Maria Davis
160,2025-07-17,North,Sports,Swimming Goggles Pro,308.12,7,51,Frank Wilson
161,2024-12-13,Central,Furniture,Standing Desk Oak,717.31,33,52,Irene Thompson
162,2024-02-11,East,Electronics,Wireless Earbuds Z3,3625.24,31,67,Hector Patel
163,2024-06-01,Central,Sports,Yoga Mat Premium,709.69,40,41,Carol Chen
164,2025-02-06,Central,Furniture,Dining Table Set,1108.66,33,69,Hector Patel
165,2025-12-26,Central,Furniture,Sofa Sectional L,2474.88,24,43,Karen White
166,2024-04-22,South,Sports,Resistance Band Set,1609.77,47,112,Leo Garcia
167,2025-10-06,East,Sports,Mountain Bike 27.5,589.82,42,101,Maria Davis
168,2025-08-15,Central,Clothing,Premium Jacket,487.64,11,68,Karen White
169,2025-09-26,South,Clothing,Casual Sneakers,73.68,45,15,David Kim
170,2024-01-20,South,Furniture,Sofa Sectional L,581.58,45,27,Grace Lee
171,2025-05-28,Central,Food & Beverage,Organic Coffee Blend,217.62,34,27,Irene Thompson
172,2024-11-28,South,Sports,Mountain Bike 27.5,682.4,12,59,Olivia Clark
173,2025-06-29,North,Sports,Resistance Band Set,1377.67,47,88,Karen White
174,2025-12-10,North,Sports,Mountain Bike 27.5,449.15,16,36,Irene Thompson
175,2024-11-01,West,Furniture,Bookshelf Modern,2158.97,45,91,Hector Patel
176,2024-11-20,South,Furniture,Dining Table Set,2811.05,47,36,Elena Rodriguez
177,2024-05-04,Central,Sports,Mountain Bike 27.5,1799.86,26,105,Frank Wilson
178,2024-05-29,North,Electronics,Smart TV 55in,4785.51,6,45,Olivia Clark
179,2025-03-28,North,Food & Beverage,Protein Bar Pack,76.58,35,35,Olivia Clark
180,2025-07-29,North,Clothing,Premium Jacket,511.76,38,31,David Kim
181,2024-02-21,Central,Clothing,Casual Sneakers,89.37,27,43,Leo Garcia
182,2025-04-28,East,Clothing,Premium Jacket,773.39,11,53,Karen White
183,2025-05-02,South,Clothing,Silk Dress Shirt,290.88,42,8,Olivia Clark
184,2024-04-01,Central,Clothing,Sports Hoodie,604.01,3,117,Olivia Clark
185,2024-06-28,South,Clothing,Premium Jacket,797.88,26,101,Hector Patel
186,2024-07-09,North,Electronics,Laptop Pro X1,1632.28,39,14,Olivia Clark
187,2024-12-09,North,Food & Beverage,Gourmet Tea Collection,166.81,9,109,Irene Thompson
188,2025-04-24,North,Clothing,Premium Jacket,298.01,47,59,Karen White
189,2024-09-20,West,Electronics,Smart TV 55in,3995.68,37,87,Maria Davis
190,2024-07-16,West,Sports,Mountain Bike 27.5,1667.82,33,42,Bob Martinez
191,2025-02-14,East,Clothing,Casual Sneakers,408.09,16,1,Elena Rodriguez
192,2025-01-27,West,Food & Beverage,Artisan Pasta Set,287.13,20,75,Leo Garcia
193,2025-08-09,East,Furniture,Bookshelf Modern,2124.39,4,86,Bob Martinez
194,2025-04-21,North,Clothing,Denim Jeans Classic,564.56,46,99,Elena Rodriguez
195,2025-12-07,East,Furniture,Bookshelf Modern,1901.68,15,18,Hector Patel
196,2024-06-05,South,Sports,Resistance Band Set,878.42,36,117,Hector Patel
197,2025-07-04,West,Clothing,Sports Hoodie,704.85,6,68,Hector Patel
198,2025-06-24,North,Electronics,Gaming Console S,738.6,36,116,Irene Thompson
199,2024-07-26,Central,Sports,Yoga Mat Premium,395.91,34,57,Bob Martinez
200,2025-11-27,West,Sports,Mountain Bike 27.5,254.61,33,58,Maria Davis
201,2024-02-26,South,Clothing,Sports Hoodie,361.57,37,8,Irene Thompson
202,2025-04-18,North,Electronics,Tablet Air M2,1421.39,1,96,David Kim
203,2025-08-15,East,Electronics,Tablet Air M2,1853.74,5,70,Alice Johnson
204,2024-03-11,South,Electronics,Smart TV 55in,2162.56,50,18,Maria Davis
205,2025-10-18,South,Furniture,Sofa Sectional L,1428.33,25,49,Bob Martinez
206,2025-11-30,Central,Clothing,Silk Dress Shirt,138.97,35,51,Irene Thompson
207,2024-05-10,West,Electronics,Laptop Pro X1,4896.76,30,87,Leo Garcia
208,2025-07-11,South,Sports,Mountain Bike 27.5,1660.85,16,59,Frank Wilson
209,2024-06-07,North,Clothing,Premium Jacket,74.16,43,54,James Anderson
210,2024-01-17,West,Clothing,Premium Jacket,125.67,3,58,James Anderson
211,2025-11-19,East,Clothing,Premium Jacket,351.7,15,70,David Kim
212,2024-02-27,West,Sports,Resistance Band Set,529.59,47,74,Frank Wilson
213,2025-08-14,Central,Furniture,Standing Desk Oak,1010.03,10,85,Irene Thompson
214,2024-08-14,South,Furniture,Bookshelf Modern,323.73,38,113,Leo Garcia
215,2024-06-28,South,Sports,Mountain Bike 27.5,170.02,23,83,Karen White
216,2025-01-25,Central,Furniture,Sofa Sectional L,1313.54,20,49,Carol Chen
217,2025-07-04,South,Clothing,Casual Sneakers,275.55,46,19,Maria Davis
218,2025-04-19,East,Sports,Mountain Bike 27.5,1938.15,36,68,Carol Chen
219,2025-02-01,West,Furniture,Standing Desk Oak,1091.25,6,119,Hector Patel
220,2025-01-14,East,Sports,Yoga Mat Premium,178.95,25,87,James Anderson
221,2025-09-09,East,Electronics,Wireless Earbuds Z3,4062.32,38,93,Karen White
222,2025-07-26,West,Food & Beverage,Protein Bar Pack,263.45,22,39,Olivia Clark
223,2024-01-16,West,Clothing,Premium Jacket,610.16,49,62,Olivia Clark
224,2024-09-05,Central,Clothing,Denim Jeans Classic,736.34,36,42,Maria Davis
225,2024-10-16,South,Food & Beverage,Gourmet Tea Collection,201.64,20,34,Frank Wilson
226,2025-06-09,South,Food & Beverage,Organic Coffee Blend,244.79,47,61,Maria Davis
227,2024-11-23,West,Furniture,Bookshelf Modern,1329.7,37,111,David Kim
228,2024-05-29,East,Furniture,Dining Table Set,2814.06,38,93,Grace Lee
229,2024-10-29,West,Clothing,Silk Dress Shirt,222.51,37,107,David Kim
230,2025-05-26,Central,Furniture,Bookshelf Modern,2325.58,32,93,Karen White
231,2025-05-17,South,Clothing,Silk Dress Shirt,176.95,47,70,Hector Patel
232,2024-07-07,Central,Electronics,Gaming Console S,362.35,5,105,Karen White
233,2024-02-19,East,Food & Beverage,Protein Bar Pack,255.91,15,9,Leo Garcia
234,2024-06-03,East,Clothing,Sports Hoodie,392.01,4,80,Karen White
235,2025-11-13,Central,Food & Beverage,Cold Press Juice 12pk,24.4,35,71,Grace Lee
236,2024-01-13,East,Sports,Resistance Band Set,1108.62,19,3,Irene Thompson
237,2025-12-15,South,Clothing,Premium Jacket,738.54,34,20,David Kim
238,2024-07-15,Central,Sports,Resistance Band Set,1645.21,18,102,Grace Lee
239,2024-03-21,North,Food & Beverage,Cold Press Juice 12pk,178.2,45,29,Elena Rodriguez
240,2025-12-01,East,Electronics,Laptop Pro X1,2145.34,25,71,Hector Patel
241,2024-02-27,East,Clothing,Premium Jacket,424.89,28,83,Maria Davis
242,2024-12-05,Central,Electronics,Gaming Console S,4611.93,15,28,Olivia Clark
243,2025-12-09,Central,Food & Beverage,Artisan Pasta Set,33.04,5,88,Olivia Clark
244,2024-10-14,Central,Sports,Running Shoes Ultra,424.36,21,3,David Kim
245,2025-08-24,West,Food & Beverage,Organic Coffee Blend,103.8,37,31,James Anderson
246,2025-02-02,Central,Furniture,Sofa Sectional L,2303.49,9,102,Leo Garcia
247,2024-03-21,Central,Furniture,Ergonomic Desk Chair,428.4,15,108,Bob Martinez
248,2024-12-14,Central,Sports,Swimming Goggles Pro,841.67,50,42,Alice Johnson
249,2025-10-11,North,Food & Beverage,Cold Press Juice 12pk,83.88,36,49,Grace Lee
250,2024-07-09,Central,Food & Beverage,Organic Coffee Blend,236.21,19,103,David Kim
251,2025-12-31,East,Electronics,Smart TV 55in,940.26,46,101,Karen White
252,2024-06-06,South,Furniture,Bookshelf Modern,453.67,1,40,Hector Patel
253,2025-01-03,North,Electronics,Wireless Earbuds Z3,619.03,28,58,Irene Thompson
254,2025-07-22,Central,Food & Beverage,Organic Coffee Blend,27.35,23,71,Bob Martinez
255,2025-09-03,Central,Furniture,Sofa Sectional L,185.17,27,50,Maria Davis
256,2024-03-27,Central,Clothing,Sports Hoodie,440.83,44,49,Carol Chen
257,2024-05-22,North,Furniture,Bookshelf Modern,1555.4,5,22,Grace Lee
258,2024-10-09,South,Furniture,Sofa Sectional L,2380.6,24,33,David Kim
259,2025-10-02,South,Sports,Swimming Goggles Pro,455.45,7,18,Elena Rodriguez
260,2024-01-07,South,Furniture,Dining Table Set,1232.69,22,57,Frank Wilson
261,2025-03-16,Central,Clothing,Silk Dress Shirt,290.5,45,26,Hector Patel
262,2024-11-17,West,Food & Beverage,Artisan Pasta Set,101.61,45,82,Hector Patel
263,2025-08-12,West,Furniture,Sofa Sectional L,948.86,26,47,Bob Martinez
264,2025-07-31,West,Sports,Swimming Goggles Pro,425.46,50,71,Alice Johnson
265,2025-04-17,West,Food & Beverage,Artisan Pasta Set,252.76,5,105,Nathan Brown
266,2025-02-22,South,Clothing,Silk Dress Shirt,231.52,43,20,Leo Garcia
267,2025-03-09,South,Electronics,Tablet Air M2,4955.36,31,75,Grace Lee
268,2025-07-01,Central,Food & Beverage,Gourmet Tea Collection,30.29,24,90,Olivia Clark
269,2025-07-03,Central,Electronics,Laptop Pro X1,3890.98,43,86,Frank Wilson
270,2024-06-19,Central,Electronics,Gaming Console S,4921.32,44,83,Grace Lee
271,2024-12-05,South,Electronics,Laptop Pro X1,673.31,15,66,Leo Garcia
272,2025-06-15,Central,Sports,Swimming Goggles Pro,504.38,24,51,Hector Patel
273,2025-11-26,Central,Sports,Yoga Mat Premium,742.34,2,62,Bob Martinez
274,2024-10-29,South,Electronics,Laptop Pro X1,4190.33,47,19,Frank Wilson
275,2024-11-15,North,Food & Beverage,Protein Bar Pack,165.91,23,61,Bob Martinez
276,2025-03-24,South,Furniture,Ergonomic Desk Chair,1005.75,46,15,Alice Johnson
277,2024-12-17,East,Clothing,Casual Sneakers,437.0,36,21,Frank Wilson
278,2025-07-27,South,Food & Beverage,Protein Bar Pack,243.37,41,24,Carol Chen
279,2025-10-17,South,Food & Beverage,Organic Coffee Blend,226.47,13,58,James Anderson
280,2025-03-15,South,Electronics,Wireless Earbuds Z3,1187.77,49,91,Maria Davis
281,2024-03-05,Central,Electronics,Gaming Console S,1097.41,21,26,Hector Patel
282,2024-04-26,North,Food & Beverage,Gourmet Tea Collection,290.46,21,77,Grace Lee
283,2025-09-17,South,Sports,Running Shoes Ultra,748.02,30,80,Carol Chen
284,2025-11-20,North,Sports,Swimming Goggles Pro,242.72,9,41,Bob Martinez
285,2024-09-01,North,Electronics,Wireless Earbuds Z3,1991.87,10,66,Grace Lee
286,2025-03-04,Central,Clothing,Sports Hoodie,337.78,12,63,Karen White
287,2025-07-04,West,Sports,Yoga Mat Premium,1020.11,9,24,Frank Wilson
288,2025-04-06,Central,Electronics,Smart TV 55in,4768.84,32,18,David Kim
289,2025-01-28,Central,Sports,Mountain Bike 27.5,865.54,32,54,Leo Garcia
290,2025-03-30,South,Clothing,Premium Jacket,474.05,49,29,Elena Rodriguez
291,2024-02-03,North,Clothing,Sports Hoodie,266.5,50,59,James Anderson
292,2025-05-22,Central,Sports,Running Shoes Ultra,1179.61,18,100,Irene Thompson
293,2025-01-10,Central,Electronics,Tablet Air M2,2822.5,28,14,Leo Garcia
294,2025-10-31,West,Furniture,Ergonomic Desk Chair,1431.74,23,111,Nathan Brown
295,2024-03-30,South,Electronics,Wireless Earbuds Z3,1207.42,48,76,Leo Garcia
296,2024-12-25,Central,Food & Beverage,Protein Bar Pack,192.52,14,105,David Kim
297,2024-03-01,Central,Furniture,Dining Table Set,951.09,35,22,Frank Wilson
298,2025-12-21,North,Furniture,Dining Table Set,911.93,33,116,Karen White
299,2024-04-07,West,Food & Beverage,Organic Coffee Blend,297.9,42,17,Leo Garcia
300,2024-05-15,West,Clothing,Silk Dress Shirt,671.36,49,108,Karen White
301,2025-02-06,South,Clothing,Sports Hoodie,524.3,41,54,Grace Lee
302,2025-04-07,East,Electronics,Tablet Air M2,2674.94,18,89,Olivia Clark
303,2025-01-12,South,Food & Beverage,Artisan Pasta Set,182.95,50,109,Leo Garcia
304,2024-04-05,South,Furniture,Ergonomic Desk Chair,2417.68,26,28,Grace Lee
305,2024-08-04,South,Furniture,Bookshelf Modern,2510.78,22,71,James Anderson
306,2024-05-13,Central,Food & Beverage,Artisan Pasta Set,270.36,49,7,Alice Johnson
307,2024-04-11,South,Electronics,Laptop Pro X1,4661.28,11,57,Hector Patel
308,2024-01-01,South,Clothing,Casual Sneakers,711.61,20,21,Nathan Brown
309,2024-10-07,East,Furniture,Bookshelf Modern,384.9,43,116,Karen White
310,2024-06-18,East,Food & Beverage,Artisan Pasta Set,223.28,49,30,Grace Lee
311,2025-11-02,East,Electronics,Laptop Pro X1,1224.42,5,17,James Anderson
312,2024-08-19,Central,Food & Beverage,Organic Coffee Blend,22.26,22,105,Bob Martinez
313,2025-03-08,West,Food & Beverage,Organic Coffee Blend,84.11,6,94,Maria Davis
314,2024-04-14,East,Furniture,Bookshelf Modern,2660.82,9,49,Maria Davis
315,2024-05-16,West,Electronics,Gaming Console S,2903.8,40,84,Carol Chen
316,2025-03-26,North,Clothing,Casual Sneakers,739.92,40,88,Hector Patel
317,2024-08-10,East,Electronics,Wireless Earbuds Z3,3811.74,38,94,Grace Lee
318,2024-12-25,South,Furniture,Standing Desk Oak,856.19,42,11,David Kim
319,2025-07-20,Central,Sports,Swimming Goggles Pro,627.05,45,4,Nathan Brown
320,2025-11-05,North,Clothing,Sports Hoodie,505.2,13,96,Grace Lee
321,2024-10-29,East,Clothing,Denim Jeans Classic,339.41,16,64,Karen White
322,2025-08-31,East,Sports,Running Shoes Ultra,1974.81,21,17,Grace Lee
323,2025-08-05,South,Furniture,Dining Table Set,2096.38,49,61,Maria Davis
324,2024-03-15,East,Sports,Running Shoes Ultra,106.48,14,6,Olivia Clark
325,2024-03-02,South,Sports,Resistance Band Set,1286.86,33,99,Grace Lee
326,2025-03-09,South,Electronics,Gaming Console S,2780.75,10,36,Bob Martinez
327,2024-11-13,East,Sports,Yoga Mat Premium,1950.68,10,69,Frank Wilson
